;collaboration;stylometry;machine learning;sgml;tei;text encoding;computational literary studies;literature;nlp;annotation;topic modeling;language model;llms;edition;network;distant reading;bert;fine-tuning;language models;large language models;llm;visualization;id;year
19;0.0009066183136899365;0.0;0.0;0.001813236627379873;0.006346328195829556;0.005439709882139619;0.0;0.0027198549410698096;0.0;0.0;0.0;0.0;0.0;0.0027198549410698096;0.0009066183136899365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22;1999
20;0.0015982951518380393;0.0003551767004084532;0.0005327650506126798;0.0;0.0012431184514295863;0.0;0.0;0.0010655301012253596;0.0003551767004084532;0.0012431184514295863;0.0003551767004084532;0.0;0.0;0.0033741786538803056;0.0033741786538803056;0.0;0.0;0.0;0.0;0.0;0.0;0.002131060202450719;23;2019
21;0.0;0.0;0.0;0.00298804780876494;0.00597609561752988;0.0;0.0;0.00398406374501992;0.0;0.00099601593625498;0.0;0.0;0.0;0.00199203187250996;0.00099601593625498;0.0;0.0;0.0;0.0;0.0;0.0;0.00099601593625498;24;1998
22;0.0012755102040816326;0.0;0.0;0.00510204081632653;0.003826530612244898;0.0;0.0;0.0012755102040816326;0.0;0.003826530612244898;0.0;0.0;0.0;0.002551020408163265;0.0;0.0;0.0012755102040816326;0.0;0.0;0.0;0.0;0.0;25;1997
23;0.0;0.0007496251874062968;0.0;0.005997001499250375;0.0074962518740629685;0.0007496251874062968;0.0;0.0022488755622188904;0.0007496251874062968;0.0029985007496251873;0.0;0.0;0.0;0.005997001499250375;0.0007496251874062968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26;1996
24;0.0010638297872340426;0.0010638297872340426;0.0;0.002127659574468085;0.002127659574468085;0.0;0.0;0.002127659574468085;0.0010638297872340426;0.0010638297872340426;0.0;0.0;0.0;0.0010638297872340426;0.002127659574468085;0.0;0.0010638297872340426;0.0;0.0;0.0;0.0;0.0010638297872340426;27;1995
25;0.0;0.001451378809869376;0.0;0.0;0.0;0.000725689404934688;0.0;0.0021770682148040637;0.0;0.0;0.0;0.0;0.0;0.000725689404934688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000725689404934688;28;1994
26;0.0;0.0;0.0;0.0010449320794148381;0.0041797283176593526;0.0010449320794148381;0.0;0.00522466039707419;0.0;0.0010449320794148381;0.0;0.0;0.0;0.0020898641588296763;0.00522466039707419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29;1993
27;0.0;0.0;0.0;0.0013966480446927375;0.0013966480446927375;0.0013966480446927375;0.0;0.002793296089385475;0.0;0.0;0.0;0.0;0.0;0.002793296089385475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30;1992
28;0.0;0.0;0.000968054211035818;0.000968054211035818;0.003872216844143272;0.0;0.0;0.002904162633107454;0.0;0.0;0.0;0.0;0.0;0.0;0.000968054211035818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31;1991
29;0.0;0.001584786053882726;0.0;0.0;0.003169572107765452;0.001584786053882726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32;1990
30;0.0;0.0;0.0;0.0007127583749109052;0.0;0.0;0.0;0.0007127583749109052;0.0;0.0;0.0;0.0;0.0;0.0;0.0021382751247327157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;1989
31;0.0009538950715421304;0.0004769475357710652;0.0009538950715421304;0.0;0.0012718600953895071;0.0;0.0003179650238473768;0.0017488076311605724;0.0003179650238473768;0.0014308426073131955;0.0003179650238473768;0.0;0.0;0.0012718600953895071;0.003656597774244833;0.000794912559618442;0.0;0.0;0.0;0.0;0.0;0.0014308426073131955;495;2020
32;0.0;0.0005960659646334195;0.0009934432743890324;0.0;0.0015895092390224518;0.00019868865487780648;0.0007947546195112259;0.0013908205841446453;0.00019868865487780648;0.0013908205841446453;0.00039737730975561295;0.00039737730975561295;0.0;0.0009934432743890324;0.003775084442678323;0.0009934432743890324;0.0007947546195112259;0.0;0.00019868865487780648;0.0;0.0;0.0005960659646334195;511;2022
33;0.007035497281739686;0.0012791813239526704;0.0003197953309881676;0.0;0.0003197953309881676;0.0;0.0003197953309881676;0.0009593859929645027;0.0009593859929645027;0.0025583626479053407;0.0006395906619763352;0.0003197953309881676;0.0;0.003517748640869843;0.0025583626479053407;0.0006395906619763352;0.0;0.0;0.0;0.0;0.0;0.0006395906619763352;515;2023
